budget_ratio,layer,mode,selected_tokens,selected_ratio,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
0.2,15,random_token,102.0,0.19921875,0.19925913214683533,0.19962501525878906,0.0477822651155293,0.8008101880550385,0.048086794558912516,0.801349088549614
0.2,15,recent_block,96.0,0.1875,0.015603468054905534,0.025114059448242188,0.047307238448411226,0.1401369646191597,0.035981661174446344,0.6561918035149574
0.2,15,recent_token,102.0,0.19921875,0.01787088392302394,0.028738021850585938,0.045986819081008434,0.15035711601376534,0.03488851897418499,0.6586803048849106
0.2,15,sender_attn_block,96.0,0.1875,0.5480326637625694,0.5244741439819336,0.016071431105956435,0.8977168202400208,0.016071431105956435,0.8977168202400208
0.2,15,sender_k_norm,90.779541015625,0.17730379104614258,0.14847731590270996,0.18459320068359375,0.06210325052961707,0.6324764490127563,0.05881724739447236,0.7373673468828201
0.2,15,sender_k_norm_block,96.0,0.1875,0.26417722180485725,0.23500728607177734,0.03660268569365144,0.7458013445138931,0.03785962238907814,0.7947483509778976
0.2,15,sender_kxreceived,94.95947265625,0.18546772003173828,0.23991921544075012,0.34404754638671875,0.042786750476807356,0.7311620116233826,0.03927026176825166,0.8316128700971603
0.2,15,sender_kxreceived_block,96.0,0.1875,0.6434716507792473,0.5392370223999023,0.008037013816647232,0.8812189474701881,0.008037013816647232,0.8812189400196075
0.2,15,sender_received,94.31640625,0.18421173095703125,0.24307559430599213,0.34806060791015625,0.04232484707608819,0.7364070415496826,0.038806325290352106,0.8368414118885994
0.2,15,sender_received_block,96.0,0.1875,0.6434716507792473,0.5392370223999023,0.008037013816647232,0.8812189474701881,0.008037013816647232,0.8812189400196075
0.2,15,uniform_block,96.0,0.1875,0.5567284151911736,0.5392951965332031,0.009849632275290787,0.8647222146391869,0.009849632275290787,0.8647222146391869
0.3,0,random_block,160.0,0.3125,0.31350742653012276,0.3131828308105469,0.00017292211487074383,0.8552305847406387,0.00021932604067842476,0.9200072959065437
0.3,0,random_token,154.0,0.30078125,0.29998983815312386,0.30057811737060547,0.00024376995315833483,0.9165496975183487,0.000248811596975429,0.9166732579469681
0.3,0,recent_block,160.0,0.3125,0.05032398924231529,0.0265350341796875,0.0005961378483334556,0.26268109306693077,0.0007117792119970545,0.7107665613293648
0.3,0,recent_token,154.0,0.30078125,0.04608562029898167,0.02446460723876953,0.0005976906904834323,0.2596428729593754,0.0007136334461392835,0.7158443182706833
0.3,0,sender_attn_block,160.0,0.3125,0.703972764313221,0.7930259704589844,1.8956219264509855e-05,0.9857152327895164,1.895621903713618e-05,0.9857152327895164
0.3,0,sender_k_norm,118.217041015625,0.23089265823364258,0.20346760749816895,0.21523284912109375,0.0011205913760932162,0.46885931491851807,0.0011301860504318029,0.5687095001339912
0.3,0,sender_k_norm_block,160.0,0.3125,0.5334681794047356,0.6030082702636719,3.540000261637033e-05,0.9551206305623055,3.5435120025795186e-05,0.9693961068987846
0.3,0,sender_kxreceived,111.786376953125,0.21833276748657227,0.4136523902416229,0.5765380859375,0.0003043309989152476,0.7973724007606506,0.00031138673512032256,0.8965916037559509
0.3,0,sender_kxreceived_block,160.0,0.3125,0.7119327932596207,0.8384742736816406,1.9059990563619067e-05,0.9851658865809441,1.9059990108871716e-05,0.9851659014821053
0.3,0,sender_received,115.751953125,0.22607803344726562,0.44134965538978577,0.623748779296875,0.00028024047787766904,0.8146835565567017,0.0002872962213587016,0.9139028042554855
0.3,0,sender_received_block,160.0,0.3125,0.7119327932596207,0.8384742736816406,1.9059990563619067e-05,0.9851658865809441,1.9059990108871716e-05,0.9851659014821053
0.3,0,uniform_block,160.0,0.3125,0.47323111444711685,0.5397119522094727,4.409612301969901e-05,0.975839875638485,4.409612301969901e-05,0.9758398830890656
0.3,4,random_block,160.0,0.3125,0.31343403831124306,0.3143606185913086,0.0036451786290854216,0.816118873655796,0.003889399900799617,0.8747923746705055
0.3,4,random_token,154.0,0.30078125,0.30115649104118347,0.3008308410644531,0.004373849369585514,0.8757118284702301,0.0044401182676665485,0.874770000576973
0.3,4,recent_block,160.0,0.3125,0.042452269699424505,0.04459095001220703,0.007968359161168337,0.2591875493526459,0.006416067888494581,0.7406065836548805
